sex,id,cage,treatment,zt,day,eatdrinkfor,move,rest,flag,graph_zt
M,triangleb3,b3,CORT,13,2,0,0,300,night,19
M,triangleb3,b3,CORT,13.5,2,0,0,300,night,19.5
M,triangleb3,b3,CORT,14,2,0,0,300,night,20
M,triangleb3,b3,CORT,15,2,0,0,300,night,21
M,triangleb3,b3,CORT,15.5,2,0,0,300,night,21.5
M,triangleb3,b3,CORT,16,2,0,0,300,night,0
M,triangleb3,b3,CORT,16.5,2,0,0,300,night,0.5
M,triangleb3,b3,CORT,17,2,0,0,300,night,1
M,triangleb3,b3,CORT,17.5,2,0,0,300,night,1.5
M,triangleb3,b3,CORT,19,2,0,0,300,night,1
M,triangleb3,b3,CORT,19.5,2,0,0,300,night,1.5
M,triangleb3,b3,CORT,20,2,0,0,300,night,2
M,triangleb3,b3,CORT,21,2,0,0,300,night,3
M,triangleb3,b3,CORT,21.5,2,0,0,300,night,3.5
M,triangleb3,b3,CORT,22,2,0,0,300,night,4
M,triangleb3,b3,CORT,22.5,2,0,0,300,night,4.5
M,triangleb3,b3,CORT,23.5,2,0,0,300,night,5.5
F,squareb3,b3,CORT,12.5,1,0,0,300,night,18.5
F,squareb3,b3,CORT,13,1,0,0,300,night,19
F,squareb3,b3,CORT,13.5,1,0,0,300,night,19.5
F,squareb3,b3,CORT,14,1,0,0,300,night,20
F,squareb3,b3,CORT,14.5,1,0,0,300,night,20.5
F,squareb3,b3,CORT,15,1,0,0,300,night,21
F,squareb3,b3,CORT,15.5,1,0,0,300,night,21.5
F,squareb3,b3,CORT,16,1,0,0,300,night,0
F,squareb3,b3,CORT,16.5,1,0,0,300,night,0.5
F,squareb3,b3,CORT,17,1,0,0,300,night,1
F,squareb3,b3,CORT,17.5,1,0,0,300,night,1.5
F,squareb3,b3,CORT,18,1,0,0,300,night,0
F,squareb3,b3,CORT,18.5,1,0,0,300,night,0.5
F,squareb3,b3,CORT,19,1,0,0,300,night,1
F,squareb3,b3,CORT,20,1,0,0,300,night,2
F,squareb3,b3,CORT,20.5,1,0,0,300,night,2.5
F,squareb3,b3,CORT,21,1,0,0,300,night,3
F,squareb3,b3,CORT,21.5,1,0,0,300,night,3.5
F,squareb3,b3,CORT,22,1,0,0,300,night,4
F,squareb3,b3,CORT,13,2,0,0,300,night,19
F,squareb3,b3,CORT,13.5,2,0,0,300,night,19.5
F,squareb3,b3,CORT,14,2,0,0,300,night,20
F,squareb3,b3,CORT,15,2,0,0,300,night,21
F,squareb3,b3,CORT,15.5,2,0,0,300,night,21.5
F,squareb3,b3,CORT,16,2,0,0,300,night,0
F,squareb3,b3,CORT,16.5,2,0,0,300,night,0.5
F,squareb3,b3,CORT,17,2,0,0,300,night,1
F,squareb3,b3,CORT,17.5,2,0,0,300,night,1.5
F,squareb3,b3,CORT,19,2,0,0,300,night,1
F,squareb3,b3,CORT,19.5,2,0,0,300,night,1.5
F,squareb3,b3,CORT,20,2,0,0,300,night,2
F,squareb3,b3,CORT,21,2,0,0,300,night,3
F,squareb3,b3,CORT,21.5,2,0,0,300,night,3.5
F,squareb3,b3,CORT,22,2,0,0,300,night,4
F,squareb3,b3,CORT,22.5,2,0,0,300,night,4.5
F,squareb3,b3,CORT,23.5,2,0,0,300,night,5.5
M,triangleb4,b4,CORT,12.5,1,0,0,300,night,18.5
M,triangleb4,b4,CORT,13,1,0,0,300,night,19
M,triangleb4,b4,CORT,13.5,1,0,0,300,night,19.5
M,triangleb4,b4,CORT,14,1,0,0,300,night,20
M,triangleb4,b4,CORT,14.5,1,0,0,300,night,20.5
M,triangleb4,b4,CORT,15,1,0,0,300,night,21
M,triangleb4,b4,CORT,15.5,1,0,0,300,night,21.5
M,triangleb4,b4,CORT,16,1,0,0,300,night,0
M,triangleb4,b4,CORT,17,1,0,0,300,night,1
M,triangleb4,b4,CORT,18.5,1,0,0,300,night,0.5
M,triangleb4,b4,CORT,19.5,1,0,0,300,night,1.5
M,triangleb4,b4,CORT,20,1,0,0,300,night,2
M,triangleb4,b4,CORT,20.5,1,0,0,300,night,2.5
M,triangleb4,b4,CORT,21.5,1,0,0,300,night,3.5
M,triangleb4,b4,CORT,22.5,1,0,0,300,night,4.5
M,triangleb4,b4,CORT,12.5,2,0,0,300,night,18.5
M,triangleb4,b4,CORT,13,2,0,0,300,night,19
M,triangleb4,b4,CORT,13.5,2,0,0,300,night,19.5
M,triangleb4,b4,CORT,14,2,0,0,300,night,20
M,triangleb4,b4,CORT,14.5,2,0,0,300,night,20.5
M,triangleb4,b4,CORT,15,2,0,0,300,night,21
M,triangleb4,b4,CORT,16,2,0,0,300,night,0
M,triangleb4,b4,CORT,16.5,2,0,0,300,night,0.5
M,triangleb4,b4,CORT,17,2,0,0,300,night,1
M,triangleb4,b4,CORT,17.5,2,0,0,300,night,1.5
M,triangleb4,b4,CORT,18,2,0,0,300,night,0
M,triangleb4,b4,CORT,18.5,2,0,0,300,night,0.5
M,triangleb4,b4,CORT,19,2,0,0,300,night,1
M,triangleb4,b4,CORT,19.5,2,0,0,300,night,1.5
M,triangleb4,b4,CORT,20,2,0,0,300,night,2
M,triangleb4,b4,CORT,20.5,2,0,0,300,night,2.5
M,triangleb4,b4,CORT,21,2,0,0,300,night,3
M,triangleb4,b4,CORT,21.5,2,0,0,300,night,3.5
M,triangleb4,b4,CORT,22,2,0,0,300,night,4
M,squareb4,b4,CORT,12.5,1,0,0,300,night,18.5
M,squareb4,b4,CORT,13,1,0,0,300,night,19
M,squareb4,b4,CORT,13.5,1,0,0,300,night,19.5
M,squareb4,b4,CORT,14,1,0,0,300,night,20
M,squareb4,b4,CORT,14.5,1,0,0,300,night,20.5
M,squareb4,b4,CORT,15,1,0,0,300,night,21
M,squareb4,b4,CORT,15.5,1,0,0,300,night,21.5
M,squareb4,b4,CORT,16,1,0,0,300,night,0
M,squareb4,b4,CORT,17,1,0,0,300,night,1
M,squareb4,b4,CORT,18.5,1,0,0,300,night,0.5
M,squareb4,b4,CORT,19.5,1,0,0,300,night,1.5
M,squareb4,b4,CORT,20,1,0,0,300,night,2
M,squareb4,b4,CORT,20.5,1,0,0,300,night,2.5
M,squareb4,b4,CORT,21.5,1,0,0,300,night,3.5
M,squareb4,b4,CORT,22.5,1,0,0,300,night,4.5
M,squareb4,b4,CORT,12.5,2,0,0,300,night,18.5
M,squareb4,b4,CORT,13,2,0,0,300,night,19
M,squareb4,b4,CORT,13.5,2,0,0,300,night,19.5
M,squareb4,b4,CORT,14,2,0,0,300,night,20
M,squareb4,b4,CORT,14.5,2,0,0,300,night,20.5
M,squareb4,b4,CORT,15,2,0,0,300,night,21
M,squareb4,b4,CORT,16,2,0,0,300,night,0
M,squareb4,b4,CORT,16.5,2,0,0,300,night,0.5
M,squareb4,b4,CORT,17,2,0,0,300,night,1
M,squareb4,b4,CORT,17.5,2,0,0,300,night,1.5
M,squareb4,b4,CORT,18,2,0,0,300,night,0
M,squareb4,b4,CORT,18.5,2,0,0,300,night,0.5
M,squareb4,b4,CORT,19,2,0,0,300,night,1
M,squareb4,b4,CORT,19.5,2,0,0,300,night,1.5
M,squareb4,b4,CORT,20,2,0,0,300,night,2
M,squareb4,b4,CORT,20.5,2,0,0,300,night,2.5
M,squareb4,b4,CORT,21,2,0,0,300,night,3
M,squareb4,b4,CORT,21.5,2,0,0,300,night,3.5
M,squareb4,b4,CORT,22,2,0,0,300,night,4
M,rectangleb4,b4,CORT,12.5,1,0,0,300,night,18.5
M,rectangleb4,b4,CORT,13,1,0,0,300,night,19
M,rectangleb4,b4,CORT,13.5,1,0,0,300,night,19.5
M,rectangleb4,b4,CORT,14,1,0,0,300,night,20
M,rectangleb4,b4,CORT,14.5,1,0,0,300,night,20.5
M,rectangleb4,b4,CORT,15,1,0,0,300,night,21
M,rectangleb4,b4,CORT,15.5,1,0,0,300,night,21.5
M,rectangleb4,b4,CORT,16,1,0,0,300,night,0
M,rectangleb4,b4,CORT,17,1,0,0,300,night,1
M,rectangleb4,b4,CORT,18.5,1,0,0,300,night,0.5
M,rectangleb4,b4,CORT,19.5,1,0,0,300,night,1.5
M,rectangleb4,b4,CORT,20,1,0,0,300,night,2
M,rectangleb4,b4,CORT,20.5,1,0,0,300,night,2.5
M,rectangleb4,b4,CORT,21.5,1,0,0,300,night,3.5
M,rectangleb4,b4,CORT,22.5,1,0,0,300,night,4.5
M,rectangleb4,b4,CORT,12.5,2,0,0,300,night,18.5
M,rectangleb4,b4,CORT,13,2,0,0,300,night,19
M,rectangleb4,b4,CORT,13.5,2,0,0,300,night,19.5
M,rectangleb4,b4,CORT,14,2,0,0,300,night,20
M,rectangleb4,b4,CORT,14.5,2,0,0,300,night,20.5
M,rectangleb4,b4,CORT,15,2,0,0,300,night,21
M,rectangleb4,b4,CORT,16,2,0,0,300,night,0
M,rectangleb4,b4,CORT,16.5,2,0,0,300,night,0.5
M,rectangleb4,b4,CORT,17,2,0,0,300,night,1
M,rectangleb4,b4,CORT,17.5,2,0,0,300,night,1.5
M,rectangleb4,b4,CORT,18,2,0,0,300,night,0
M,rectangleb4,b4,CORT,18.5,2,0,0,300,night,0.5
M,rectangleb4,b4,CORT,19,2,0,0,300,night,1
M,rectangleb4,b4,CORT,19.5,2,0,0,300,night,1.5
M,rectangleb4,b4,CORT,20,2,0,0,300,night,2
M,rectangleb4,b4,CORT,20.5,2,0,0,300,night,2.5
M,rectangleb4,b4,CORT,21,2,0,0,300,night,3
M,rectangleb4,b4,CORT,21.5,2,0,0,300,night,3.5
M,rectangleb4,b4,CORT,22,2,0,0,300,night,4
F,plusb4,b4,CORT,12.5,1,0,0,300,night,18.5
F,plusb4,b4,CORT,13,1,0,0,300,night,19
F,plusb4,b4,CORT,13.5,1,0,0,300,night,19.5
F,plusb4,b4,CORT,14,1,0,0,300,night,20
F,plusb4,b4,CORT,14.5,1,0,0,300,night,20.5
F,plusb4,b4,CORT,15,1,0,0,300,night,21
F,plusb4,b4,CORT,15.5,1,0,0,300,night,21.5
F,plusb4,b4,CORT,16,1,0,0,300,night,0
F,plusb4,b4,CORT,17,1,0,0,300,night,1
F,plusb4,b4,CORT,18.5,1,0,0,300,night,0.5
F,plusb4,b4,CORT,19.5,1,0,0,300,night,1.5
F,plusb4,b4,CORT,20,1,0,0,300,night,2
F,plusb4,b4,CORT,20.5,1,0,0,300,night,2.5
F,plusb4,b4,CORT,21.5,1,0,0,300,night,3.5
F,plusb4,b4,CORT,22.5,1,0,0,300,night,4.5
F,plusb4,b4,CORT,12.5,2,0,0,300,night,18.5
F,plusb4,b4,CORT,13,2,0,0,300,night,19
F,plusb4,b4,CORT,13.5,2,0,0,300,night,19.5
F,plusb4,b4,CORT,14,2,0,0,300,night,20
F,plusb4,b4,CORT,14.5,2,0,0,300,night,20.5
F,plusb4,b4,CORT,15,2,0,0,300,night,21
F,plusb4,b4,CORT,16,2,0,0,300,night,0
F,plusb4,b4,CORT,16.5,2,0,0,300,night,0.5
F,plusb4,b4,CORT,17,2,0,0,300,night,1
F,plusb4,b4,CORT,17.5,2,0,0,300,night,1.5
F,plusb4,b4,CORT,18,2,0,0,300,night,0
F,plusb4,b4,CORT,18.5,2,0,0,300,night,0.5
F,plusb4,b4,CORT,19,2,0,0,300,night,1
F,plusb4,b4,CORT,19.5,2,0,0,300,night,1.5
F,plusb4,b4,CORT,20,2,0,0,300,night,2
F,plusb4,b4,CORT,20.5,2,0,0,300,night,2.5
F,plusb4,b4,CORT,21,2,0,0,300,night,3
F,plusb4,b4,CORT,21.5,2,0,0,300,night,3.5
F,plusb4,b4,CORT,22,2,0,0,300,night,4
F,squareb7,b7,CORT,12.5,1,0,0,300,night,18.5
F,squareb7,b7,CORT,13,1,0,0,300,night,19
F,squareb7,b7,CORT,13.5,1,0,0,300,night,19.5
F,squareb7,b7,CORT,14,1,0,0,300,night,20
F,squareb7,b7,CORT,14.5,1,0,0,300,night,20.5
F,squareb7,b7,CORT,15,1,0,0,300,night,21
F,squareb7,b7,CORT,15.5,1,0,0,300,night,21.5
F,squareb7,b7,CORT,16,1,0,0,300,night,0
F,squareb7,b7,CORT,16.5,1,0,0,300,night,0.5
F,squareb7,b7,CORT,17,1,0,0,300,night,1
F,squareb7,b7,CORT,18,1,0,0,300,night,0
F,squareb7,b7,CORT,18.5,1,0,0,300,night,0.5
F,squareb7,b7,CORT,19,1,0,0,300,night,1
F,squareb7,b7,CORT,19.5,1,0,0,300,night,1.5
F,squareb7,b7,CORT,20,1,0,0,300,night,2
F,squareb7,b7,CORT,20.5,1,0,0,300,night,2.5
F,squareb7,b7,CORT,21.5,1,0,0,300,night,3.5
F,squareb7,b7,CORT,22,1,0,0,300,night,4
F,squareb7,b7,CORT,22.5,1,0,0,300,night,4.5
F,squareb7,b7,CORT,23,1,0,0,300,night,5
F,squareb7,b7,CORT,12.5,2,0,0,300,night,18.5
F,squareb7,b7,CORT,13,2,0,0,300,night,19
F,squareb7,b7,CORT,13.5,2,0,0,300,night,19.5
F,squareb7,b7,CORT,14,2,0,0,300,night,20
F,squareb7,b7,CORT,14.5,2,0,0,300,night,20.5
F,squareb7,b7,CORT,15.5,2,0,0,300,night,21.5
F,squareb7,b7,CORT,16,2,0,0,300,night,0
F,squareb7,b7,CORT,16.5,2,0,0,300,night,0.5
F,squareb7,b7,CORT,17,2,0,0,300,night,1
F,squareb7,b7,CORT,17.5,2,0,0,300,night,1.5
F,squareb7,b7,CORT,18,2,0,0,300,night,0
F,squareb7,b7,CORT,18.5,2,0,0,300,night,0.5
F,squareb7,b7,CORT,19,2,0,0,300,night,1
F,squareb7,b7,CORT,19.5,2,0,0,300,night,1.5
F,squareb7,b7,CORT,20,2,0,0,300,night,2
F,squareb7,b7,CORT,20.5,2,0,0,300,night,2.5
F,squareb7,b7,CORT,21,2,0,0,300,night,3
F,squareb7,b7,CORT,21.5,2,0,0,300,night,3.5
F,squareb7,b7,CORT,22,2,0,0,300,night,4
F,squareb7,b7,CORT,22.5,2,0,0,300,night,4.5
F,squareb7,b7,CORT,23,2,0,0,300,night,5
F,squareb7,b7,CORT,23.5,2,0,0,300,night,5.5
F,rectangleb7,b7,CORT,12.5,1,0,0,300,night,18.5
F,rectangleb7,b7,CORT,13,1,0,0,300,night,19
F,rectangleb7,b7,CORT,13.5,1,0,0,300,night,19.5
F,rectangleb7,b7,CORT,14,1,0,0,300,night,20
F,rectangleb7,b7,CORT,14.5,1,0,0,300,night,20.5
F,rectangleb7,b7,CORT,15,1,0,0,300,night,21
F,rectangleb7,b7,CORT,15.5,1,0,0,300,night,21.5
F,rectangleb7,b7,CORT,16,1,0,0,300,night,0
F,rectangleb7,b7,CORT,16.5,1,0,0,300,night,0.5
F,rectangleb7,b7,CORT,17,1,0,0,300,night,1
F,rectangleb7,b7,CORT,18,1,0,0,300,night,0
F,rectangleb7,b7,CORT,18.5,1,0,0,300,night,0.5
F,rectangleb7,b7,CORT,19,1,0,0,300,night,1
F,rectangleb7,b7,CORT,19.5,1,0,0,300,night,1.5
F,rectangleb7,b7,CORT,20,1,0,0,300,night,2
F,rectangleb7,b7,CORT,20.5,1,0,0,300,night,2.5
F,rectangleb7,b7,CORT,21.5,1,0,0,300,night,3.5
F,rectangleb7,b7,CORT,22,1,0,0,300,night,4
F,rectangleb7,b7,CORT,22.5,1,0,0,300,night,4.5
F,rectangleb7,b7,CORT,23,1,0,0,300,night,5
F,rectangleb7,b7,CORT,12.5,2,0,0,300,night,18.5
F,rectangleb7,b7,CORT,13,2,0,0,300,night,19
F,rectangleb7,b7,CORT,13.5,2,0,0,300,night,19.5
F,rectangleb7,b7,CORT,14,2,0,0,300,night,20
F,rectangleb7,b7,CORT,14.5,2,0,0,300,night,20.5
F,rectangleb7,b7,CORT,15.5,2,0,0,300,night,21.5
F,rectangleb7,b7,CORT,16,2,0,0,300,night,0
F,rectangleb7,b7,CORT,16.5,2,0,0,300,night,0.5
F,rectangleb7,b7,CORT,17,2,0,0,300,night,1
F,rectangleb7,b7,CORT,17.5,2,0,0,300,night,1.5
F,rectangleb7,b7,CORT,18,2,0,0,300,night,0
F,rectangleb7,b7,CORT,18.5,2,0,0,300,night,0.5
F,rectangleb7,b7,CORT,19,2,0,0,300,night,1
F,rectangleb7,b7,CORT,19.5,2,0,0,300,night,1.5
F,rectangleb7,b7,CORT,20,2,0,0,300,night,2
F,rectangleb7,b7,CORT,20.5,2,0,0,300,night,2.5
F,rectangleb7,b7,CORT,21,2,0,0,300,night,3
F,rectangleb7,b7,CORT,21.5,2,0,0,300,night,3.5
F,rectangleb7,b7,CORT,22,2,0,0,300,night,4
F,rectangleb7,b7,CORT,22.5,2,0,0,300,night,4.5
F,rectangleb7,b7,CORT,23,2,0,0,300,night,5
F,rectangleb7,b7,CORT,23.5,2,0,0,300,night,5.5
F,plusb7,b7,CORT,12.5,1,0,0,300,night,18.5
F,plusb7,b7,CORT,13,1,0,0,300,night,19
F,plusb7,b7,CORT,13.5,1,0,0,300,night,19.5
F,plusb7,b7,CORT,14,1,0,0,300,night,20
F,plusb7,b7,CORT,14.5,1,0,0,300,night,20.5
F,plusb7,b7,CORT,15,1,0,0,300,night,21
F,plusb7,b7,CORT,15.5,1,0,0,300,night,21.5
F,plusb7,b7,CORT,16,1,0,0,300,night,0
F,plusb7,b7,CORT,16.5,1,0,0,300,night,0.5
F,plusb7,b7,CORT,17,1,0,0,300,night,1
F,plusb7,b7,CORT,18,1,0,0,300,night,0
F,plusb7,b7,CORT,18.5,1,0,0,300,night,0.5
F,plusb7,b7,CORT,19,1,0,0,300,night,1
F,plusb7,b7,CORT,19.5,1,0,0,300,night,1.5
F,plusb7,b7,CORT,20,1,0,0,300,night,2
F,plusb7,b7,CORT,20.5,1,0,0,300,night,2.5
F,plusb7,b7,CORT,21.5,1,0,0,300,night,3.5
F,plusb7,b7,CORT,22,1,0,0,300,night,4
F,plusb7,b7,CORT,22.5,1,0,0,300,night,4.5
F,plusb7,b7,CORT,23,1,0,0,300,night,5
F,plusb7,b7,CORT,12.5,2,0,0,300,night,18.5
F,plusb7,b7,CORT,13,2,0,0,300,night,19
F,plusb7,b7,CORT,13.5,2,0,0,300,night,19.5
F,plusb7,b7,CORT,14,2,0,0,300,night,20
F,plusb7,b7,CORT,14.5,2,0,0,300,night,20.5
F,plusb7,b7,CORT,15.5,2,0,0,300,night,21.5
F,plusb7,b7,CORT,16,2,0,0,300,night,0
F,plusb7,b7,CORT,16.5,2,0,0,300,night,0.5
F,plusb7,b7,CORT,17,2,0,0,300,night,1
F,plusb7,b7,CORT,17.5,2,0,0,300,night,1.5
F,plusb7,b7,CORT,18,2,0,0,300,night,0
F,plusb7,b7,CORT,18.5,2,0,0,300,night,0.5
F,plusb7,b7,CORT,19,2,0,0,300,night,1
F,plusb7,b7,CORT,19.5,2,0,0,300,night,1.5
F,plusb7,b7,CORT,20,2,0,0,300,night,2
F,plusb7,b7,CORT,20.5,2,0,0,300,night,2.5
F,plusb7,b7,CORT,21,2,0,0,300,night,3
F,plusb7,b7,CORT,21.5,2,0,0,300,night,3.5
F,plusb7,b7,CORT,22,2,0,0,300,night,4
F,plusb7,b7,CORT,22.5,2,0,0,300,night,4.5
F,plusb7,b7,CORT,23,2,0,0,300,night,5
F,plusb7,b7,CORT,23.5,2,0,0,300,night,5.5
M,rectanglec2,c2,Control,12.5,1,0,0,300,night,18.5
M,rectanglec2,c2,Control,13,1,0,0,300,night,19
M,rectanglec2,c2,Control,13.5,1,0,0,300,night,19.5
M,rectanglec2,c2,Control,14.5,1,0,0,300,night,20.5
M,rectanglec2,c2,Control,15,1,0,0,300,night,21
M,rectanglec2,c2,Control,15.5,1,0,0,300,night,21.5
M,rectanglec2,c2,Control,16,1,0,0,300,night,0
M,rectanglec2,c2,Control,17,1,0,0,300,night,1
M,rectanglec2,c2,Control,17.5,1,0,0,300,night,1.5
M,rectanglec2,c2,Control,18,1,0,0,300,night,0
M,rectanglec2,c2,Control,18.5,1,0,0,300,night,0.5
M,rectanglec2,c2,Control,19,1,0,0,300,night,1
M,rectanglec2,c2,Control,19.5,1,0,0,300,night,1.5
M,rectanglec2,c2,Control,20,1,0,0,300,night,2
M,rectanglec2,c2,Control,20.5,1,0,0,300,night,2.5
M,rectanglec2,c2,Control,21,1,0,0,300,night,3
M,rectanglec2,c2,Control,21.5,1,0,0,300,night,3.5
M,rectanglec2,c2,Control,22,1,0,0,300,night,4
M,rectanglec2,c2,Control,12.5,2,0,0,300,night,18.5
M,rectanglec2,c2,Control,13,2,0,0,300,night,19
M,rectanglec2,c2,Control,13.5,2,0,0,300,night,19.5
M,rectanglec2,c2,Control,14,2,0,0,300,night,20
M,rectanglec2,c2,Control,14.5,2,0,0,300,night,20.5
M,rectanglec2,c2,Control,15.5,2,0,0,300,night,21.5
M,rectanglec2,c2,Control,16,2,0,0,300,night,0
M,rectanglec2,c2,Control,16.5,2,0,0,300,night,0.5
M,rectanglec2,c2,Control,17,2,0,0,300,night,1
M,rectanglec2,c2,Control,17.5,2,0,0,300,night,1.5
M,rectanglec2,c2,Control,18,2,0,0,300,night,0
M,rectanglec2,c2,Control,19.5,2,0,0,300,night,1.5
M,rectanglec2,c2,Control,20,2,0,0,300,night,2
M,rectanglec2,c2,Control,20.5,2,0,0,300,night,2.5
M,rectanglec2,c2,Control,21,2,0,0,300,night,3
M,rectanglec2,c2,Control,22.5,2,0,0,300,night,4.5
M,rectanglec2,c2,Control,23,2,0,0,300,night,5
M,rectanglec2,c2,Control,23.5,2,0,0,300,night,5.5
M,trianglec2,c2,Control,12.5,1,0,0,300,night,18.5
M,trianglec2,c2,Control,13,1,0,0,300,night,19
M,trianglec2,c2,Control,13.5,1,0,0,300,night,19.5
M,trianglec2,c2,Control,14.5,1,0,0,300,night,20.5
M,trianglec2,c2,Control,15,1,0,0,300,night,21
M,trianglec2,c2,Control,15.5,1,0,0,300,night,21.5
M,trianglec2,c2,Control,16,1,0,0,300,night,0
M,trianglec2,c2,Control,17,1,0,0,300,night,1
M,trianglec2,c2,Control,17.5,1,0,0,300,night,1.5
M,trianglec2,c2,Control,18,1,0,0,300,night,0
M,trianglec2,c2,Control,18.5,1,0,0,300,night,0.5
M,trianglec2,c2,Control,19,1,0,0,300,night,1
M,trianglec2,c2,Control,19.5,1,0,0,300,night,1.5
M,trianglec2,c2,Control,20,1,0,0,300,night,2
M,trianglec2,c2,Control,20.5,1,0,0,300,night,2.5
M,trianglec2,c2,Control,21,1,0,0,300,night,3
M,trianglec2,c2,Control,21.5,1,0,0,300,night,3.5
M,trianglec2,c2,Control,22,1,0,0,300,night,4
M,trianglec2,c2,Control,12.5,2,0,0,300,night,18.5
M,trianglec2,c2,Control,13,2,0,0,300,night,19
M,trianglec2,c2,Control,13.5,2,0,0,300,night,19.5
M,trianglec2,c2,Control,14,2,0,0,300,night,20
M,trianglec2,c2,Control,14.5,2,0,0,300,night,20.5
M,trianglec2,c2,Control,15.5,2,0,0,300,night,21.5
M,trianglec2,c2,Control,16,2,0,0,300,night,0
M,trianglec2,c2,Control,16.5,2,0,0,300,night,0.5
M,trianglec2,c2,Control,17,2,0,0,300,night,1
M,trianglec2,c2,Control,17.5,2,0,0,300,night,1.5
M,trianglec2,c2,Control,18,2,0,0,300,night,0
M,trianglec2,c2,Control,19.5,2,0,0,300,night,1.5
M,trianglec2,c2,Control,20,2,0,0,300,night,2
M,trianglec2,c2,Control,20.5,2,0,0,300,night,2.5
M,trianglec2,c2,Control,21,2,0,0,300,night,3
M,trianglec2,c2,Control,22.5,2,0,0,300,night,4.5
M,trianglec2,c2,Control,23,2,0,0,300,night,5
M,trianglec2,c2,Control,23.5,2,0,0,300,night,5.5
F,squarec2,c2,Control,12.5,1,0,0,300,night,18.5
F,squarec2,c2,Control,13,1,0,0,300,night,19
F,squarec2,c2,Control,13.5,1,0,0,300,night,19.5
F,squarec2,c2,Control,14.5,1,0,0,300,night,20.5
F,squarec2,c2,Control,15,1,0,0,300,night,21
F,squarec2,c2,Control,15.5,1,0,0,300,night,21.5
F,squarec2,c2,Control,16,1,0,0,300,night,0
F,squarec2,c2,Control,17,1,0,0,300,night,1
F,squarec2,c2,Control,17.5,1,0,0,300,night,1.5
F,squarec2,c2,Control,18,1,0,0,300,night,0
F,squarec2,c2,Control,18.5,1,0,0,300,night,0.5
F,squarec2,c2,Control,19,1,0,0,300,night,1
F,squarec2,c2,Control,19.5,1,0,0,300,night,1.5
F,squarec2,c2,Control,20,1,0,0,300,night,2
F,squarec2,c2,Control,20.5,1,0,0,300,night,2.5
F,squarec2,c2,Control,21,1,0,0,300,night,3
F,squarec2,c2,Control,21.5,1,0,0,300,night,3.5
F,squarec2,c2,Control,22,1,0,0,300,night,4
F,squarec2,c2,Control,12.5,2,0,0,300,night,18.5
F,squarec2,c2,Control,13,2,0,0,300,night,19
F,squarec2,c2,Control,13.5,2,0,0,300,night,19.5
F,squarec2,c2,Control,14,2,0,0,300,night,20
F,squarec2,c2,Control,14.5,2,0,0,300,night,20.5
F,squarec2,c2,Control,15.5,2,0,0,300,night,21.5
F,squarec2,c2,Control,16,2,0,0,300,night,0
F,squarec2,c2,Control,16.5,2,0,0,300,night,0.5
F,squarec2,c2,Control,17,2,0,0,300,night,1
F,squarec2,c2,Control,17.5,2,0,0,300,night,1.5
F,squarec2,c2,Control,18,2,0,0,300,night,0
F,squarec2,c2,Control,19.5,2,0,0,300,night,1.5
F,squarec2,c2,Control,20,2,0,0,300,night,2
F,squarec2,c2,Control,20.5,2,0,0,300,night,2.5
F,squarec2,c2,Control,21,2,0,0,300,night,3
F,squarec2,c2,Control,22.5,2,0,0,300,night,4.5
F,squarec2,c2,Control,23,2,0,0,300,night,5
F,squarec2,c2,Control,23.5,2,0,0,300,night,5.5
M,plusc2,c2,Control,12.5,1,0,0,300,night,18.5
M,plusc2,c2,Control,13,1,0,0,300,night,19
M,plusc2,c2,Control,13.5,1,0,0,300,night,19.5
