sex,id,cage,treatment,zt,day,eatdrinkfor,move,rest,flag,graph_zt
M,plusc2,c2,Control,14.5,1,0,0,300,night,20.5
M,plusc2,c2,Control,15,1,0,0,300,night,21
M,plusc2,c2,Control,15.5,1,0,0,300,night,21.5
M,plusc2,c2,Control,16,1,0,0,300,night,0
M,plusc2,c2,Control,17,1,0,0,300,night,1
M,plusc2,c2,Control,17.5,1,0,0,300,night,1.5
M,plusc2,c2,Control,18,1,0,0,300,night,0
M,plusc2,c2,Control,18.5,1,0,0,300,night,0.5
M,plusc2,c2,Control,19,1,0,0,300,night,1
M,plusc2,c2,Control,19.5,1,0,0,300,night,1.5
M,plusc2,c2,Control,20,1,0,0,300,night,2
M,plusc2,c2,Control,20.5,1,0,0,300,night,2.5
M,plusc2,c2,Control,21,1,0,0,300,night,3
M,plusc2,c2,Control,21.5,1,0,0,300,night,3.5
M,plusc2,c2,Control,22,1,0,0,300,night,4
M,plusc2,c2,Control,12.5,2,0,0,300,night,18.5
M,plusc2,c2,Control,13,2,0,0,300,night,19
M,plusc2,c2,Control,13.5,2,0,0,300,night,19.5
M,plusc2,c2,Control,14,2,0,0,300,night,20
M,plusc2,c2,Control,14.5,2,0,0,300,night,20.5
M,plusc2,c2,Control,15.5,2,0,0,300,night,21.5
M,plusc2,c2,Control,16,2,0,0,300,night,0
M,plusc2,c2,Control,16.5,2,0,0,300,night,0.5
M,plusc2,c2,Control,17,2,0,0,300,night,1
M,plusc2,c2,Control,17.5,2,0,0,300,night,1.5
M,plusc2,c2,Control,18,2,0,0,300,night,0
M,plusc2,c2,Control,19.5,2,0,0,300,night,1.5
M,plusc2,c2,Control,20,2,0,0,300,night,2
M,plusc2,c2,Control,20.5,2,0,0,300,night,2.5
M,plusc2,c2,Control,21,2,0,0,300,night,3
M,plusc2,c2,Control,22.5,2,0,0,300,night,4.5
M,plusc2,c2,Control,23,2,0,0,300,night,5
M,plusc2,c2,Control,23.5,2,0,0,300,night,5.5
M,trianglec3,c3,Control,13,1,0,0,300,night,19
M,trianglec3,c3,Control,14,1,0,0,300,night,20
M,trianglec3,c3,Control,15,1,0,0,300,night,21
M,trianglec3,c3,Control,15.5,1,0,0,300,night,21.5
M,trianglec3,c3,Control,16,1,0,0,300,night,0
M,trianglec3,c3,Control,17,1,0,0,300,night,1
M,trianglec3,c3,Control,17.5,1,0,0,300,night,1.5
M,trianglec3,c3,Control,18,1,0,0,300,night,0
M,trianglec3,c3,Control,19,1,0,0,300,night,1
M,trianglec3,c3,Control,19.5,1,0,0,300,night,1.5
M,trianglec3,c3,Control,20,1,0,0,300,night,2
M,trianglec3,c3,Control,20.5,1,0,0,300,night,2.5
M,trianglec3,c3,Control,21,1,0,0,300,night,3
M,trianglec3,c3,Control,21.5,1,0,0,300,night,3.5
M,trianglec3,c3,Control,22,1,0,0,300,night,4
M,trianglec3,c3,Control,22.5,1,0,0,300,night,4.5
M,trianglec3,c3,Control,23.5,1,0,0,300,night,5.5
M,trianglec3,c3,Control,12.5,2,0,0,300,night,18.5
M,trianglec3,c3,Control,13,2,0,0,300,night,19
M,trianglec3,c3,Control,14,2,0,0,300,night,20
M,trianglec3,c3,Control,14.5,2,0,0,300,night,20.5
M,trianglec3,c3,Control,15,2,0,0,300,night,21
M,trianglec3,c3,Control,15.5,2,0,0,300,night,21.5
M,trianglec3,c3,Control,16,2,0,0,300,night,0
M,trianglec3,c3,Control,17,2,0,0,300,night,1
M,trianglec3,c3,Control,17.5,2,0,0,300,night,1.5
M,trianglec3,c3,Control,18,2,0,0,300,night,0
M,trianglec3,c3,Control,18.5,2,0,0,300,night,0.5
M,trianglec3,c3,Control,19,2,0,0,300,night,1
M,trianglec3,c3,Control,19.5,2,0,0,300,night,1.5
M,trianglec3,c3,Control,20,2,0,0,300,night,2
M,trianglec3,c3,Control,20.5,2,0,0,300,night,2.5
M,trianglec3,c3,Control,21,2,0,0,300,night,3
M,trianglec3,c3,Control,21.5,2,0,0,300,night,3.5
M,trianglec3,c3,Control,22,2,0,0,300,night,4
M,trianglec3,c3,Control,22.5,2,0,0,300,night,4.5
M,trianglec3,c3,Control,23,2,0,0,300,night,5
M,trianglec3,c3,Control,23.5,2,0,0,300,night,5.5
F,squarec3,c3,Control,13,1,0,0,300,night,19
F,squarec3,c3,Control,14,1,0,0,300,night,20
F,squarec3,c3,Control,15,1,0,0,300,night,21
F,squarec3,c3,Control,15.5,1,0,0,300,night,21.5
F,squarec3,c3,Control,16,1,0,0,300,night,0
F,squarec3,c3,Control,17,1,0,0,300,night,1
F,squarec3,c3,Control,17.5,1,0,0,300,night,1.5
F,squarec3,c3,Control,18,1,0,0,300,night,0
F,squarec3,c3,Control,19,1,0,0,300,night,1
F,squarec3,c3,Control,19.5,1,0,0,300,night,1.5
F,squarec3,c3,Control,20,1,0,0,300,night,2
F,squarec3,c3,Control,20.5,1,0,0,300,night,2.5
F,squarec3,c3,Control,21,1,0,0,300,night,3
F,squarec3,c3,Control,21.5,1,0,0,300,night,3.5
F,squarec3,c3,Control,22,1,0,0,300,night,4
F,squarec3,c3,Control,22.5,1,0,0,300,night,4.5
F,squarec3,c3,Control,23.5,1,0,0,300,night,5.5
F,squarec3,c3,Control,12.5,2,0,0,300,night,18.5
F,squarec3,c3,Control,13,2,0,0,300,night,19
F,squarec3,c3,Control,14,2,0,0,300,night,20
F,squarec3,c3,Control,14.5,2,0,0,300,night,20.5
F,squarec3,c3,Control,15,2,0,0,300,night,21
F,squarec3,c3,Control,15.5,2,0,0,300,night,21.5
F,squarec3,c3,Control,16,2,0,0,300,night,0
F,squarec3,c3,Control,17,2,0,0,300,night,1
F,squarec3,c3,Control,17.5,2,0,0,300,night,1.5
F,squarec3,c3,Control,18,2,0,0,300,night,0
F,squarec3,c3,Control,18.5,2,0,0,300,night,0.5
F,squarec3,c3,Control,19,2,0,0,300,night,1
F,squarec3,c3,Control,19.5,2,0,0,300,night,1.5
F,squarec3,c3,Control,20,2,0,0,300,night,2
F,squarec3,c3,Control,20.5,2,0,0,300,night,2.5
F,squarec3,c3,Control,21,2,0,0,300,night,3
F,squarec3,c3,Control,21.5,2,0,0,300,night,3.5
F,squarec3,c3,Control,22,2,0,0,300,night,4
F,squarec3,c3,Control,22.5,2,0,0,300,night,4.5
F,squarec3,c3,Control,23,2,0,0,300,night,5
F,squarec3,c3,Control,23.5,2,0,0,300,night,5.5
F,rectanglec3,c3,Control,13,1,0,0,300,night,19
F,rectanglec3,c3,Control,14,1,0,0,300,night,20
F,rectanglec3,c3,Control,15,1,0,0,300,night,21
F,rectanglec3,c3,Control,15.5,1,0,0,300,night,21.5
F,rectanglec3,c3,Control,16,1,0,0,300,night,0
F,rectanglec3,c3,Control,17,1,0,0,300,night,1
F,rectanglec3,c3,Control,17.5,1,0,0,300,night,1.5
F,rectanglec3,c3,Control,18,1,0,0,300,night,0
F,rectanglec3,c3,Control,19,1,0,0,300,night,1
F,rectanglec3,c3,Control,19.5,1,0,0,300,night,1.5
F,rectanglec3,c3,Control,20,1,0,0,300,night,2
F,rectanglec3,c3,Control,20.5,1,0,0,300,night,2.5
F,rectanglec3,c3,Control,21,1,0,0,300,night,3
F,rectanglec3,c3,Control,21.5,1,0,0,300,night,3.5
F,rectanglec3,c3,Control,22,1,0,0,300,night,4
F,rectanglec3,c3,Control,22.5,1,0,0,300,night,4.5
F,rectanglec3,c3,Control,23.5,1,0,0,300,night,5.5
F,rectanglec3,c3,Control,12.5,2,0,0,300,night,18.5
F,rectanglec3,c3,Control,13,2,0,0,300,night,19
F,rectanglec3,c3,Control,14,2,0,0,300,night,20
F,rectanglec3,c3,Control,14.5,2,0,0,300,night,20.5
F,rectanglec3,c3,Control,15,2,0,0,300,night,21
F,rectanglec3,c3,Control,15.5,2,0,0,300,night,21.5
F,rectanglec3,c3,Control,16,2,0,0,300,night,0
F,rectanglec3,c3,Control,17,2,0,0,300,night,1
F,rectanglec3,c3,Control,17.5,2,0,0,300,night,1.5
F,rectanglec3,c3,Control,18,2,0,0,300,night,0
F,rectanglec3,c3,Control,18.5,2,0,0,300,night,0.5
F,rectanglec3,c3,Control,19,2,0,0,300,night,1
F,rectanglec3,c3,Control,19.5,2,0,0,300,night,1.5
F,rectanglec3,c3,Control,20,2,0,0,300,night,2
F,rectanglec3,c3,Control,20.5,2,0,0,300,night,2.5
F,rectanglec3,c3,Control,21,2,0,0,300,night,3
F,rectanglec3,c3,Control,21.5,2,0,0,300,night,3.5
F,rectanglec3,c3,Control,22,2,0,0,300,night,4
F,rectanglec3,c3,Control,22.5,2,0,0,300,night,4.5
F,rectanglec3,c3,Control,23,2,0,0,300,night,5
F,rectanglec3,c3,Control,23.5,2,0,0,300,night,5.5
M,plusc3,c3,Control,13,1,0,0,300,night,19
M,plusc3,c3,Control,14,1,0,0,300,night,20
M,plusc3,c3,Control,15,1,0,0,300,night,21
M,plusc3,c3,Control,15.5,1,0,0,300,night,21.5
M,plusc3,c3,Control,16,1,0,0,300,night,0
M,plusc3,c3,Control,17,1,0,0,300,night,1
M,plusc3,c3,Control,17.5,1,0,0,300,night,1.5
M,plusc3,c3,Control,18,1,0,0,300,night,0
M,plusc3,c3,Control,19,1,0,0,300,night,1
M,plusc3,c3,Control,19.5,1,0,0,300,night,1.5
M,plusc3,c3,Control,20,1,0,0,300,night,2
M,plusc3,c3,Control,20.5,1,0,0,300,night,2.5
M,plusc3,c3,Control,21,1,0,0,300,night,3
M,plusc3,c3,Control,21.5,1,0,0,300,night,3.5
M,plusc3,c3,Control,22,1,0,0,300,night,4
M,plusc3,c3,Control,22.5,1,0,0,300,night,4.5
M,plusc3,c3,Control,23.5,1,0,0,300,night,5.5
M,plusc3,c3,Control,12.5,2,0,0,300,night,18.5
M,plusc3,c3,Control,13,2,0,0,300,night,19
M,plusc3,c3,Control,14,2,0,0,300,night,20
M,plusc3,c3,Control,14.5,2,0,0,300,night,20.5
M,plusc3,c3,Control,15,2,0,0,300,night,21
M,plusc3,c3,Control,15.5,2,0,0,300,night,21.5
M,plusc3,c3,Control,16,2,0,0,300,night,0
M,plusc3,c3,Control,17,2,0,0,300,night,1
M,plusc3,c3,Control,17.5,2,0,0,300,night,1.5
M,plusc3,c3,Control,18,2,0,0,300,night,0
M,plusc3,c3,Control,18.5,2,0,0,300,night,0.5
M,plusc3,c3,Control,19,2,0,0,300,night,1
M,plusc3,c3,Control,19.5,2,0,0,300,night,1.5
M,plusc3,c3,Control,20,2,0,0,300,night,2
M,plusc3,c3,Control,20.5,2,0,0,300,night,2.5
M,plusc3,c3,Control,21,2,0,0,300,night,3
M,plusc3,c3,Control,21.5,2,0,0,300,night,3.5
M,plusc3,c3,Control,22,2,0,0,300,night,4
M,plusc3,c3,Control,22.5,2,0,0,300,night,4.5
M,plusc3,c3,Control,23,2,0,0,300,night,5
M,plusc3,c3,Control,23.5,2,0,0,300,night,5.5
M,trianglec4,c4,Control,12.5,1,0,0,300,night,18.5
M,trianglec4,c4,Control,13,1,0,0,300,night,19
M,trianglec4,c4,Control,13.5,1,0,0,300,night,19.5
M,trianglec4,c4,Control,14,1,0,0,300,night,20
M,trianglec4,c4,Control,14.5,1,0,0,300,night,20.5
M,trianglec4,c4,Control,15,1,0,0,300,night,21
M,trianglec4,c4,Control,15.5,1,0,0,300,night,21.5
M,trianglec4,c4,Control,16,1,0,0,300,night,0
M,trianglec4,c4,Control,16.5,1,0,0,300,night,0.5
M,trianglec4,c4,Control,17,1,0,0,300,night,1
M,trianglec4,c4,Control,17.5,1,0,0,300,night,1.5
M,trianglec4,c4,Control,18,1,0,0,300,night,0
M,trianglec4,c4,Control,18.5,1,0,0,300,night,0.5
M,trianglec4,c4,Control,19,1,0,0,300,night,1
M,trianglec4,c4,Control,19.5,1,0,0,300,night,1.5
M,trianglec4,c4,Control,20,1,0,0,300,night,2
M,trianglec4,c4,Control,20.5,1,0,0,300,night,2.5
M,trianglec4,c4,Control,21.5,1,0,0,300,night,3.5
M,trianglec4,c4,Control,22,1,0,0,300,night,4
M,trianglec4,c4,Control,22.5,1,0,0,300,night,4.5
M,trianglec4,c4,Control,12.5,2,0,0,300,night,18.5
M,trianglec4,c4,Control,13,2,0,0,300,night,19
M,trianglec4,c4,Control,13.5,2,0,0,300,night,19.5
M,trianglec4,c4,Control,14.5,2,0,0,300,night,20.5
M,trianglec4,c4,Control,15,2,0,0,300,night,21
M,trianglec4,c4,Control,15.5,2,0,0,300,night,21.5
M,trianglec4,c4,Control,16,2,0,0,300,night,0
M,trianglec4,c4,Control,16.5,2,0,0,300,night,0.5
M,trianglec4,c4,Control,17,2,0,0,300,night,1
M,trianglec4,c4,Control,17.5,2,0,0,300,night,1.5
M,trianglec4,c4,Control,18,2,0,0,300,night,0
M,trianglec4,c4,Control,19,2,0,0,300,night,1
M,trianglec4,c4,Control,20,2,0,0,300,night,2
M,trianglec4,c4,Control,20.5,2,0,0,300,night,2.5
M,trianglec4,c4,Control,21,2,0,0,300,night,3
M,trianglec4,c4,Control,21.5,2,0,0,300,night,3.5
M,trianglec4,c4,Control,22.5,2,0,0,300,night,4.5
M,trianglec4,c4,Control,23,2,0,0,300,night,5
M,trianglec4,c4,Control,23.5,2,0,0,300,night,5.5
M,squarec4,c4,Control,12.5,1,0,0,300,night,18.5
M,squarec4,c4,Control,13,1,0,0,300,night,19
M,squarec4,c4,Control,13.5,1,0,0,300,night,19.5
M,squarec4,c4,Control,14,1,0,0,300,night,20
M,squarec4,c4,Control,14.5,1,0,0,300,night,20.5
M,squarec4,c4,Control,15,1,0,0,300,night,21
M,squarec4,c4,Control,15.5,1,0,0,300,night,21.5
M,squarec4,c4,Control,16,1,0,0,300,night,0
M,squarec4,c4,Control,16.5,1,0,0,300,night,0.5
M,squarec4,c4,Control,17,1,0,0,300,night,1
M,squarec4,c4,Control,17.5,1,0,0,300,night,1.5
M,squarec4,c4,Control,18,1,0,0,300,night,0
M,squarec4,c4,Control,18.5,1,0,0,300,night,0.5
M,squarec4,c4,Control,19,1,0,0,300,night,1
M,squarec4,c4,Control,19.5,1,0,0,300,night,1.5
M,squarec4,c4,Control,20,1,0,0,300,night,2
M,squarec4,c4,Control,20.5,1,0,0,300,night,2.5
M,squarec4,c4,Control,21.5,1,0,0,300,night,3.5
M,squarec4,c4,Control,22,1,0,0,300,night,4
M,squarec4,c4,Control,22.5,1,0,0,300,night,4.5
M,squarec4,c4,Control,12.5,2,0,0,300,night,18.5
M,squarec4,c4,Control,13,2,0,0,300,night,19
M,squarec4,c4,Control,13.5,2,0,0,300,night,19.5
M,squarec4,c4,Control,14.5,2,0,0,300,night,20.5
M,squarec4,c4,Control,15,2,0,0,300,night,21
M,squarec4,c4,Control,15.5,2,0,0,300,night,21.5
M,squarec4,c4,Control,16,2,0,0,300,night,0
M,squarec4,c4,Control,16.5,2,0,0,300,night,0.5
M,squarec4,c4,Control,17,2,0,0,300,night,1
M,squarec4,c4,Control,17.5,2,0,0,300,night,1.5
M,squarec4,c4,Control,18,2,0,0,300,night,0
M,squarec4,c4,Control,19,2,0,0,300,night,1
M,squarec4,c4,Control,20,2,0,0,300,night,2
M,squarec4,c4,Control,20.5,2,0,0,300,night,2.5
M,squarec4,c4,Control,21,2,0,0,300,night,3
M,squarec4,c4,Control,21.5,2,0,0,300,night,3.5
M,squarec4,c4,Control,22.5,2,0,0,300,night,4.5
M,squarec4,c4,Control,23,2,0,0,300,night,5
M,squarec4,c4,Control,23.5,2,0,0,300,night,5.5
F,rectanglec4,c4,Control,12.5,1,0,0,300,night,18.5
F,rectanglec4,c4,Control,13,1,0,0,300,night,19
F,rectanglec4,c4,Control,13.5,1,0,0,300,night,19.5
F,rectanglec4,c4,Control,14,1,0,0,300,night,20
F,rectanglec4,c4,Control,14.5,1,0,0,300,night,20.5
F,rectanglec4,c4,Control,15,1,0,0,300,night,21
F,rectanglec4,c4,Control,15.5,1,0,0,300,night,21.5
F,rectanglec4,c4,Control,16,1,0,0,300,night,0
F,rectanglec4,c4,Control,16.5,1,0,0,300,night,0.5
F,rectanglec4,c4,Control,17,1,0,0,300,night,1
F,rectanglec4,c4,Control,17.5,1,0,0,300,night,1.5
F,rectanglec4,c4,Control,18,1,0,0,300,night,0
F,rectanglec4,c4,Control,18.5,1,0,0,300,night,0.5
F,rectanglec4,c4,Control,19,1,0,0,300,night,1
F,rectanglec4,c4,Control,19.5,1,0,0,300,night,1.5
F,rectanglec4,c4,Control,20,1,0,0,300,night,2
F,rectanglec4,c4,Control,20.5,1,0,0,300,night,2.5
F,rectanglec4,c4,Control,21.5,1,0,0,300,night,3.5
F,rectanglec4,c4,Control,22,1,0,0,300,night,4
F,rectanglec4,c4,Control,22.5,1,0,0,300,night,4.5
F,rectanglec4,c4,Control,12.5,2,0,0,300,night,18.5
F,rectanglec4,c4,Control,13,2,0,0,300,night,19
F,rectanglec4,c4,Control,13.5,2,0,0,300,night,19.5
F,rectanglec4,c4,Control,14.5,2,0,0,300,night,20.5
F,rectanglec4,c4,Control,15,2,0,0,300,night,21
F,rectanglec4,c4,Control,15.5,2,0,0,300,night,21.5
F,rectanglec4,c4,Control,16,2,0,0,300,night,0
F,rectanglec4,c4,Control,16.5,2,0,0,300,night,0.5
F,rectanglec4,c4,Control,17,2,0,0,300,night,1
F,rectanglec4,c4,Control,17.5,2,0,0,300,night,1.5
F,rectanglec4,c4,Control,18,2,0,0,300,night,0
F,rectanglec4,c4,Control,19,2,0,0,300,night,1
F,rectanglec4,c4,Control,20,2,0,0,300,night,2
F,rectanglec4,c4,Control,20.5,2,0,0,300,night,2.5
F,rectanglec4,c4,Control,21,2,0,0,300,night,3
F,rectanglec4,c4,Control,21.5,2,0,0,300,night,3.5
F,rectanglec4,c4,Control,22.5,2,0,0,300,night,4.5
F,rectanglec4,c4,Control,23,2,0,0,300,night,5
F,rectanglec4,c4,Control,23.5,2,0,0,300,night,5.5
M,plusc4,c4,Control,12.5,1,0,0,300,night,18.5
M,plusc4,c4,Control,13,1,0,0,300,night,19
M,plusc4,c4,Control,13.5,1,0,0,300,night,19.5
M,plusc4,c4,Control,14,1,0,0,300,night,20
M,plusc4,c4,Control,14.5,1,0,0,300,night,20.5
M,plusc4,c4,Control,15,1,0,0,300,night,21
M,plusc4,c4,Control,15.5,1,0,0,300,night,21.5
M,plusc4,c4,Control,16,1,0,0,300,night,0
M,plusc4,c4,Control,16.5,1,0,0,300,night,0.5
M,plusc4,c4,Control,17,1,0,0,300,night,1
M,plusc4,c4,Control,17.5,1,0,0,300,night,1.5
M,plusc4,c4,Control,18,1,0,0,300,night,0
M,plusc4,c4,Control,18.5,1,0,0,300,night,0.5
M,plusc4,c4,Control,19,1,0,0,300,night,1
M,plusc4,c4,Control,19.5,1,0,0,300,night,1.5
M,plusc4,c4,Control,20,1,0,0,300,night,2
M,plusc4,c4,Control,20.5,1,0,0,300,night,2.5
M,plusc4,c4,Control,21.5,1,0,0,300,night,3.5
M,plusc4,c4,Control,22,1,0,0,300,night,4
M,plusc4,c4,Control,22.5,1,0,0,300,night,4.5
M,plusc4,c4,Control,12.5,2,0,0,300,night,18.5
M,plusc4,c4,Control,13,2,0,0,300,night,19
M,plusc4,c4,Control,13.5,2,0,0,300,night,19.5
M,plusc4,c4,Control,14.5,2,0,0,300,night,20.5
M,plusc4,c4,Control,15,2,0,0,300,night,21
M,plusc4,c4,Control,15.5,2,0,0,300,night,21.5
M,plusc4,c4,Control,16,2,0,0,300,night,0
M,plusc4,c4,Control,16.5,2,0,0,300,night,0.5
M,plusc4,c4,Control,17,2,0,0,300,night,1
M,plusc4,c4,Control,17.5,2,0,0,300,night,1.5
M,plusc4,c4,Control,18,2,0,0,300,night,0
M,plusc4,c4,Control,19,2,0,0,300,night,1
M,plusc4,c4,Control,20,2,0,0,300,night,2
M,plusc4,c4,Control,20.5,2,0,0,300,night,2.5
M,plusc4,c4,Control,21,2,0,0,300,night,3
M,plusc4,c4,Control,21.5,2,0,0,300,night,3.5
M,plusc4,c4,Control,22.5,2,0,0,300,night,4.5
M,plusc4,c4,Control,23,2,0,0,300,night,5
M,plusc4,c4,Control,23.5,2,0,0,300,night,5.5
M,trianglec7,c7,Control,12.5,1,0,0,300,night,18.5
M,trianglec7,c7,Control,18.5,1,0,0,300,night,0.5
M,trianglec7,c7,Control,19,1,0,0,300,night,1
M,trianglec7,c7,Control,19.5,1,0,0,300,night,1.5
M,trianglec7,c7,Control,20.5,1,0,0,300,night,2.5
M,trianglec7,c7,Control,21.5,1,0,0,300,night,3.5
M,trianglec7,c7,Control,22,1,0,0,300,night,4
M,trianglec7,c7,Control,23.5,1,0,0,300,night,5.5
M,trianglec7,c7,Control,13,2,0,0,300,night,19
M,trianglec7,c7,Control,13.5,2,0,0,300,night,19.5
M,trianglec7,c7,Control,14,2,0,0,300,night,20
M,trianglec7,c7,Control,15,2,0,0,300,night,21
M,trianglec7,c7,Control,16,2,0,0,300,night,0
M,trianglec7,c7,Control,16.5,2,0,0,300,night,0.5
M,trianglec7,c7,Control,17.5,2,0,0,300,night,1.5
M,trianglec7,c7,Control,18,2,0,0,300,night,0
M,trianglec7,c7,Control,19,2,0,0,300,night,1
M,trianglec7,c7,Control,20,2,0,0,300,night,2
M,trianglec7,c7,Control,20.5,2,0,0,300,night,2.5
M,trianglec7,c7,Control,21.5,2,0,0,300,night,3.5
M,trianglec7,c7,Control,22,2,0,0,300,night,4
M,trianglec7,c7,Control,23,2,0,0,300,night,5
M,trianglec7,c7,Control,23.5,2,0,0,300,night,5.5
M,squarec7,c7,Control,12.5,1,0,0,300,night,18.5
M,squarec7,c7,Control,18.5,1,0,0,300,night,0.5
M,squarec7,c7,Control,19,1,0,0,300,night,1
M,squarec7,c7,Control,19.5,1,0,0,300,night,1.5
M,squarec7,c7,Control,20.5,1,0,0,300,night,2.5
M,squarec7,c7,Control,21.5,1,0,0,300,night,3.5
M,squarec7,c7,Control,22,1,0,0,300,night,4
M,squarec7,c7,Control,23.5,1,0,0,300,night,5.5
M,squarec7,c7,Control,13,2,0,0,300,night,19
M,squarec7,c7,Control,13.5,2,0,0,300,night,19.5
M,squarec7,c7,Control,14,2,0,0,300,night,20
M,squarec7,c7,Control,15,2,0,0,300,night,21
M,squarec7,c7,Control,16,2,0,0,300,night,0
M,squarec7,c7,Control,16.5,2,0,0,300,night,0.5
M,squarec7,c7,Control,17.5,2,0,0,300,night,1.5
M,squarec7,c7,Control,18,2,0,0,300,night,0
M,squarec7,c7,Control,19,2,0,0,300,night,1
M,squarec7,c7,Control,20,2,0,0,300,night,2
M,squarec7,c7,Control,20.5,2,0,0,300,night,2.5
M,squarec7,c7,Control,21.5,2,0,0,300,night,3.5
M,squarec7,c7,Control,22,2,0,0,300,night,4
M,squarec7,c7,Control,23,2,0,0,300,night,5
M,squarec7,c7,Control,23.5,2,0,0,300,night,5.5
M,rectanglec7,c7,Control,12.5,1,0,0,300,night,18.5
M,rectanglec7,c7,Control,18.5,1,0,0,300,night,0.5
M,rectanglec7,c7,Control,19,1,0,0,300,night,1
M,rectanglec7,c7,Control,19.5,1,0,0,300,night,1.5
M,rectanglec7,c7,Control,20.5,1,0,0,300,night,2.5
M,rectanglec7,c7,Control,21.5,1,0,0,300,night,3.5
M,rectanglec7,c7,Control,22,1,0,0,300,night,4
M,rectanglec7,c7,Control,23.5,1,0,0,300,night,5.5
M,rectanglec7,c7,Control,13,2,0,0,300,night,19
M,rectanglec7,c7,Control,13.5,2,0,0,300,night,19.5
M,rectanglec7,c7,Control,14,2,0,0,300,night,20
M,rectanglec7,c7,Control,15,2,0,0,300,night,21
M,rectanglec7,c7,Control,16,2,0,0,300,night,0
M,rectanglec7,c7,Control,16.5,2,0,0,300,night,0.5
M,rectanglec7,c7,Control,17.5,2,0,0,300,night,1.5
M,rectanglec7,c7,Control,18,2,0,0,300,night,0
M,rectanglec7,c7,Control,19,2,0,0,300,night,1
M,rectanglec7,c7,Control,20,2,0,0,300,night,2
M,rectanglec7,c7,Control,20.5,2,0,0,300,night,2.5
M,rectanglec7,c7,Control,21.5,2,0,0,300,night,3.5
M,rectanglec7,c7,Control,22,2,0,0,300,night,4
M,rectanglec7,c7,Control,23,2,0,0,300,night,5
M,rectanglec7,c7,Control,23.5,2,0,0,300,night,5.5
